date,cases,total_tests,County,pos_rate
2020-08-16,64.0,335.0,Stanislaus,0.191044776119403
2020-08-17,158.0,1529.0,Stanislaus,0.10333551340745585
2020-08-18,125.0,1372.0,Stanislaus,0.09110787172011661
2020-08-19,98.0,1426.0,Stanislaus,0.06872370266479663
2020-08-20,103.0,1298.0,Stanislaus,0.07935285053929121
2020-08-21,96.0,1041.0,Stanislaus,0.09221902017291066
2020-08-22,69.0,402.0,Stanislaus,0.17164179104477612
2020-08-23,50.0,289.0,Stanislaus,0.17301038062283736
2020-08-24,135.0,1856.0,Stanislaus,0.07273706896551724
2020-08-25,98.0,1531.0,Stanislaus,0.06401045068582625
2020-08-26,108.0,1197.0,Stanislaus,0.09022556390977443
2020-08-27,77.0,1192.0,Stanislaus,0.06459731543624161
2020-08-28,81.0,1233.0,Stanislaus,0.06569343065693431
2020-08-29,43.0,477.0,Stanislaus,0.09014675052410902
2020-08-30,49.0,276.0,Stanislaus,0.17753623188405798
2020-08-31,72.0,1630.0,Stanislaus,0.044171779141104296
2020-09-01,74.0,1474.0,Stanislaus,0.050203527815468114
2020-09-02,76.0,1830.0,Stanislaus,0.041530054644808745
2020-09-03,70.0,1721.0,Stanislaus,0.04067402672864614
2020-09-04,52.0,1618.0,Stanislaus,0.032138442521631644
2020-09-05,33.0,707.0,Stanislaus,0.04667609618104668
2020-09-06,48.0,275.0,Stanislaus,0.17454545454545456
2020-09-07,44.0,386.0,Stanislaus,0.11398963730569948
2020-09-08,65.0,2006.0,Stanislaus,0.032402791625124626
2020-09-09,64.0,1894.0,Stanislaus,0.0337909186906019
2020-09-10,40.0,1712.0,Stanislaus,0.02336448598130841
2020-09-11,53.0,1466.0,Stanislaus,0.03615279672578445
2020-09-12,38.0,412.0,Stanislaus,0.09223300970873786
2020-09-13,32.0,243.0,Stanislaus,0.13168724279835392
2020-09-14,63.0,1452.0,Stanislaus,0.04338842975206612
2020-09-15,45.0,1639.0,Stanislaus,0.027455765710799267
2020-09-16,48.0,1169.0,Stanislaus,0.041060735671514116
2020-09-17,48.0,1526.0,Stanislaus,0.03145478374836173
2020-09-18,33.0,1190.0,Stanislaus,0.02773109243697479
2020-09-19,30.0,436.0,Stanislaus,0.06880733944954129
2020-09-20,41.0,333.0,Stanislaus,0.12312312312312312
2020-09-21,32.0,1626.0,Stanislaus,0.01968019680196802
2020-09-22,30.0,1578.0,Stanislaus,0.019011406844106463
2020-09-23,23.0,1072.0,Stanislaus,0.021455223880597014
2020-09-24,30.0,1255.0,Stanislaus,0.02390438247011952
2020-09-25,36.0,1164.0,Stanislaus,0.030927835051546393
2020-09-26,18.0,544.0,Stanislaus,0.03308823529411765
2020-09-27,25.0,353.0,Stanislaus,0.0708215297450425
2020-09-28,51.0,1635.0,Stanislaus,0.031192660550458717
2020-09-29,39.0,1421.0,Stanislaus,0.02744546094299789
2020-09-30,30.0,1080.0,Stanislaus,0.027777777777777776
2020-10-01,47.0,1056.0,Stanislaus,0.04450757575757576
2020-10-02,33.0,1249.0,Stanislaus,0.02642113690952762
2020-10-03,41.0,410.0,Stanislaus,0.1
2020-10-04,33.0,303.0,Stanislaus,0.10891089108910891
2020-10-05,50.0,1818.0,Stanislaus,0.027502750275027504
2020-10-06,36.0,1721.0,Stanislaus,0.020918070889018012
2020-10-07,45.0,1511.0,Stanislaus,0.029781601588352084
2020-10-08,35.0,1357.0,Stanislaus,0.025792188651436992
2020-10-09,46.0,1182.0,Stanislaus,0.038917089678511
2020-10-10,25.0,576.0,Stanislaus,0.043402777777777776
2020-10-11,35.0,290.0,Stanislaus,0.1206896551724138
2020-10-12,64.0,1753.0,Stanislaus,0.03650884198516828
2020-10-13,49.0,1872.0,Stanislaus,0.026175213675213676
2020-10-14,45.0,1492.0,Stanislaus,0.030160857908847184
2020-10-15,45.0,1334.0,Stanislaus,0.03373313343328336
2020-10-16,38.0,1240.0,Stanislaus,0.03064516129032258
2020-10-17,34.0,489.0,Stanislaus,0.06952965235173825
2020-10-18,41.0,416.0,Stanislaus,0.0985576923076923
2020-10-19,57.0,2056.0,Stanislaus,0.02772373540856031
2020-10-20,51.0,1944.0,Stanislaus,0.026234567901234566
2020-10-21,53.0,1543.0,Stanislaus,0.034348671419313026
2020-10-22,49.0,1320.0,Stanislaus,0.037121212121212124
