SampleDate,N1_Concentration_Merged,N2_Concentration_Merged,N/PMMoV,PV_Concentration_Merged,City,positives,Testing,pos_rate,NormalizedConc_crude,NormalizedConc,positives_crude,NormalizedConc_wo,NormalizedConc_wo_int,Type,N_gene,S_gene,BCoV Recovery,BA.2,NormalizedBA.2
2022-04-21,65.85096359,58.10170174,6.224086239999999e-05,995749.9023,Woodland,5.0,1069.0,0.004677268475210477,6.224086239999999e-05,6.224086239999999e-05,5.0,6.224086239999999e-05,6.224086239999999e-05,influent,,,,,
2022-04-22,102.2959423,120.5733871,0.00014664820753333333,759877.4414,Woodland,13.0,1173.0,0.011082693947144074,0.00014664820753333333,0.00014664820753333333,13.0,0.00014664820753333333,0.00014664820753333333,influent,,,,,
2022-04-23,,,,,Woodland,11.0,1157.0,0.00950734658599827,,0.00023765701302222225,11.0,,0.00023765701302222225,influent,,,,,
2022-04-24,,,,,Woodland,9.0,253.0,0.03557312252964427,,0.0003286658185111111,9.0,,0.0003286658185111111,influent,,,,,
2022-04-25,329.4277573,284.9516296,0.00041967462400000003,731971.0938,Woodland,8.0,513.0,0.015594541910331383,0.00041967462400000003,0.00041967462400000003,8.0,0.00041967462400000003,0.00041967462400000003,influent,,,,,
2022-04-26,,,,,Woodland,8.0,1072.0,0.007462686567164179,,0.00032703213736666665,8.0,,0.00032703213736666665,influent,,,,,
2022-04-27,326.3075638,333.9086151,0.00023438965073333332,1408373.145,Woodland,14.0,1294.0,0.010819165378670788,0.00023438965073333332,0.00023438965073333332,14.0,0.00023438965073333332,0.00023438965073333332,influent,,,,,
2022-04-28,262.1292686,215.1334,0.00015252102939999998,1564579.883,Woodland,13.0,1180.0,0.011016949152542373,0.00015252102939999998,0.00015252102939999998,13.0,0.00015252102939999998,0.00015252102939999998,influent,,,,,
2022-04-29,131.3905907,120.4353142,6.51336841e-05,1933146.484,Woodland,17.0,1318.0,0.012898330804248861,6.51336841e-05,6.51336841e-05,17.0,6.51336841e-05,6.51336841e-05,influent,,,,,
2022-04-30,,,,,Woodland,13.0,1017.0,0.012782694198623401,,9.607548924444445e-05,13.0,,9.607548924444445e-05,influent,,,,,
2022-05-01,,,,,Woodland,5.0,150.0,0.03333333333333333,,0.0001270172943888889,5.0,,0.0001270172943888889,influent,,,,,
2022-05-02,238.0213547,317.4763107,0.00015795909953333334,1758359.18,Woodland,9.0,431.0,0.02088167053364269,0.00015795909953333334,0.00015795909953333334,9.0,0.00015795909953333334,0.00015795909953333334,influent,,,,,
2022-05-03,510.1588821,472.2894669,0.00028445725303333333,1726882.227,Woodland,14.0,1078.0,0.012987012987012988,0.00028445725303333333,0.00028445725303333333,14.0,0.00028445725303333333,0.00028445725303333333,influent,,,,,
2022-05-04,388.6715317,374.1165161,0.0002497418351,1527153.125,Woodland,17.0,1220.0,0.013934426229508197,0.0002497418351,0.0002497418351,17.0,0.0002497418351,0.0002497418351,influent,,,,,
2022-05-05,441.6984177,426.8216324,0.0003036146438,1430300.0,Woodland,17.0,1041.0,0.01633045148895293,0.0003036146438,0.0003036146438,17.0,0.0003036146438,0.0003036146438,influent,,,,,
2022-05-06,274.8578453,246.2679672,2.42483154e-05,10745608.59,Woodland,14.0,1094.0,0.012797074954296161,2.42483154e-05,2.42483154e-05,14.0,2.42483154e-05,2.42483154e-05,influent,,,,,
2022-05-07,,,,,Woodland,14.0,1358.0,0.010309278350515464,,0.00013102344696666666,14.0,,0.00013102344696666666,influent,,,,,
2022-05-08,,,,,Woodland,6.0,165.0,0.03636363636363636,,0.00023779857853333333,6.0,,0.00023779857853333333,influent,,,,,
2022-05-09,,,,,Woodland,4.0,424.0,0.009433962264150943,,0.0003445737101,4.0,,0.0003445737101,influent,,,,,
2022-05-10,650.7657623,639.041481,0.00045134884166666666,1428836.328,Woodland,6.0,676.0,0.008875739644970414,0.00045134884166666666,0.00045134884166666666,6.0,0.00045134884166666666,0.00045134884166666666,influent,,,,,
2022-05-11,739.9837494,747.264328,0.000469357445,1584344.824,Woodland,43.0,1700.0,0.025294117647058825,0.000469357445,0.000469357445,43.0,0.000469357445,0.000469357445,influent,,,,,
2022-05-12,711.0957336,697.0384216,0.0005018442723333333,1402959.277,Woodland,32.0,1363.0,0.02347762289068232,0.0005018442723333333,0.0005018442723333333,32.0,0.0005018442723333333,0.0005018442723333333,influent,,,,,
2022-05-13,75.72954178,59.26188469,0.0001263776077,534079.6875,Woodland,24.0,1333.0,0.01800450112528132,0.0001263776077,0.0001263776077,24.0,0.0001263776077,0.0001263776077,influent,,,,,
2022-05-14,,,,,Woodland,30.0,1423.0,0.02108222066057625,,0.00031341927502222223,30.0,,0.00031341927502222223,influent,,,,,
2022-05-15,,,,,Woodland,5.0,245.0,0.02040816326530612,,0.0005004609423444444,5.0,,0.0005004609423444444,influent,,,,,
2022-05-16,465.7224655,436.7821503,0.0006875026096666668,656364.502,Woodland,7.0,406.0,0.017241379310344827,0.0006875026096666668,0.0006875026096666668,7.0,0.0006875026096666668,0.0006875026096666668,influent,,,,,
2022-05-17,437.9522705,472.5135803,0.0004784428713333333,951488.5742,Woodland,26.0,1131.0,0.022988505747126436,0.0004784428713333333,0.0004784428713333333,26.0,0.0004784428713333333,0.0004784428713333333,influent,,,,,
2022-05-18,381.1436081,366.5969467,0.000432569444,864301.1719,Woodland,48.0,1519.0,0.031599736668861095,0.000432569444,0.000432569444,48.0,0.000432569444,0.000432569444,influent,,,,,
2022-05-19,770.761795,878.5411072,0.0020075764933333335,410769.6289,Woodland,31.0,1302.0,0.023809523809523808,0.0020075764933333335,0.0020075764933333335,31.0,0.0020075764933333335,0.0020075764933333335,influent,,,,,
2022-05-20,602.1588516,569.8062897,0.0006816308176666666,859677.3438,Woodland,19.0,1398.0,0.013590844062947067,0.0006816308176666666,0.0006816308176666666,19.0,0.0006816308176666666,0.0006816308176666666,influent,,,,,
2022-05-21,,,,,Woodland,22.0,1094.0,0.02010968921389397,,0.0007109405109166666,22.0,,0.0007109405109166666,influent,,,,,
2022-05-22,,,,,Woodland,17.0,446.0,0.03811659192825112,,0.0007402502041666667,17.0,,0.0007402502041666667,influent,,,,,
2022-05-23,,,,,Woodland,11.0,407.0,0.02702702702702703,,0.0007695598974166668,11.0,,0.0007695598974166668,influent,,,,,
2022-05-24,610.6707764,700.0345612,0.0007988695906666667,820350.0,Woodland,18.0,1050.0,0.017142857142857144,0.0007988695906666667,0.0007988695906666667,18.0,0.0007988695906666667,0.0007988695906666667,influent,,,,,
2022-05-25,770.9462738,770.9462738,0.0006117971603333333,1260133.789,Woodland,40.0,1248.0,0.03205128205128205,0.0006117971603333333,0.0006117971603333333,40.0,0.0006117971603333333,0.0006117971603333333,influent,,,,,
2022-05-26,814.1437531,979.0225983,0.0007533074156666667,1190195.605,Woodland,25.0,1173.0,0.021312872975277068,0.0007533074156666667,0.0007533074156666667,25.0,0.0007533074156666667,0.0007533074156666667,influent,,,,,
2022-05-27,782.3266602,850.6502533,0.00019004843376666666,4296212.5,Woodland,24.0,1426.0,0.016830294530154277,0.00019004843376666666,0.00019004843376666666,24.0,0.00019004843376666666,0.00019004843376666666,influent,,,,,
2022-05-28,,,,,Woodland,32.0,1249.0,0.025620496397117692,,0.00022175772886666665,32.0,,0.00022175772886666665,influent,,,,,
2022-05-29,,,,,Woodland,15.0,240.0,0.0625,,0.00025346702396666665,15.0,,0.00025346702396666665,influent,,,,,
2022-05-30,346.1778641,315.8821869,0.00028517631906666664,1160790.723,Woodland,0.0,4.0,0.0,0.00028517631906666664,0.00028517631906666664,0.0,0.00028517631906666664,0.00028517631906666664,influent,,,,,
2022-05-31,205.1805305,192.3445511,0.00020432275356666667,972787.1094,Woodland,20.0,715.0,0.027972027972027972,0.00020432275356666667,0.00020432275356666667,20.0,0.00020432275356666667,0.00020432275356666667,influent,,,,,
2022-06-01,512.8712845,482.9797745,0.00016721491833333332,2977757.813,Woodland,52.0,1579.0,0.032932235592146926,0.00016721491833333332,0.00016721491833333332,52.0,0.00016721491833333332,0.00016721491833333332,influent,,,,,
2022-06-02,599.0781784,670.3390503,0.00020615903123333333,3078733.008,Woodland,17.0,867.0,0.0196078431372549,0.00020615903123333333,0.00020615903123333333,17.0,0.00020615903123333333,0.00020615903123333333,influent,,,,,
2022-06-03,714.7853088,718.0019379,0.00033962027900000003,2109395.898,Woodland,20.0,1394.0,0.014347202295552367,0.00033962027900000003,0.00033962027900000003,20.0,0.00033962027900000003,0.00033962027900000003,influent,,,,,
2022-06-04,,,,,Woodland,23.0,1138.0,0.020210896309314587,,0.0005556620405555556,23.0,,0.0005556620405555556,influent,,,,,
2022-06-05,,,,,Woodland,8.0,325.0,0.024615384615384615,,0.0007717038021111111,8.0,,0.0007717038021111111,influent,,,,,
2022-06-06,430.3029251,545.771904,0.0009877455636666667,494092.2363,Woodland,10.0,414.0,0.024154589371980676,0.0009877455636666667,0.0009877455636666667,10.0,0.0009877455636666667,0.0009877455636666667,influent,,,,,
2022-06-07,895.9073639,767.8655243,0.00038399395033333336,2166405.078,Woodland,11.0,755.0,0.01456953642384106,0.00038399395033333336,0.00038399395033333336,11.0,0.00038399395033333336,0.00038399395033333336,influent,,,,,
2022-06-08,496.6376114,569.0395737,0.0002718263308,1960216.992,Woodland,60.0,1393.0,0.043072505384063174,0.0002718263308,0.0002718263308,60.0,0.0002718263308,0.0002718263308,influent,,,,,
2022-06-09,462.0238113,444.5479202,0.00018219995196666668,2487848.438,Woodland,27.0,781.0,0.034571062740076826,0.00018219995196666668,0.00018219995196666668,27.0,0.00018219995196666668,0.00018219995196666668,influent,,,,,
2022-06-10,787.2805786,895.1470184,0.00042813458400000004,1964834.961,Woodland,10.0,739.0,0.013531799729364006,0.00042813458400000004,0.00042813458400000004,10.0,0.00042813458400000004,0.00042813458400000004,influent,,,,,
2022-06-11,,,,,Woodland,36.0,637.0,0.0565149136577708,,0.0005470713981111111,36.0,,0.0005470713981111111,influent,,,,,
2022-06-12,,,,,Woodland,10.0,111.0,0.09009009009009009,,0.0006660082122222223,10.0,,0.0006660082122222223,influent,,,,,
2022-06-13,691.8171692,640.1831818,0.0007849450263333333,848467.2852,Woodland,5.0,224.0,0.022321428571428572,0.0007849450263333333,0.0007849450263333333,5.0,0.0007849450263333333,0.0007849450263333333,influent,,,,,
2022-06-14,645.5368805,636.3715363,0.0003970398636666667,1614332.129,Woodland,25.0,449.0,0.0556792873051225,0.0003970398636666667,0.0003970398636666667,25.0,0.0003970398636666667,0.0003970398636666667,influent,,,,,
2022-06-15,862.4049377,944.9382019,0.0010182878193333335,887442.1875,Woodland,29.0,652.0,0.04447852760736196,0.0010182878193333335,0.0010182878193333335,29.0,0.0010182878193333335,0.0010182878193333335,influent,,,,,
2022-06-16,571.9077301,630.0447464,0.0009796165436666666,613481.1035,Woodland,36.0,545.0,0.06605504587155964,0.0009796165436666666,0.0009796165436666666,36.0,0.0009796165436666666,0.0009796165436666666,influent,,,,,
2022-06-17,768.5536957,633.0627823,0.0005919312686666667,1183935.156,Woodland,0.0,,,0.0005919312686666667,0.0005919312686666667,0.0,0.0005919312686666667,0.0005919312686666667,influent,,,,,
2022-06-18,,,,,Woodland,36.0,913.0,0.03943044906900329,,0.0006787823295555555,36.0,,0.0006787823295555555,influent,,,,,
