"pop2023","pop2020","growth","name","aland_sqmi","intptlat","intptlong","slug","usps","lng","lat","rank","density"
20460,21649,-0.01866,"Duarte",6.708,34.161,-117.95,"duarte-ca","CA",-117.95,34.161,293,3050
20015,19498,0.00877,"Arvin",4.819,35.1944,-118.831,"arvin-ca","CA",-118.831,35.1944,294,4153
19843,19918,-0.00126,"Oroville",13.834,39.4955,-121.56,"oroville-ca","CA",-121.56,39.4955,295,1434
19553,20015,-0.00776,"Coronado",7.973,32.6576,-117.157,"coronado-ca","CA",-117.157,32.6576,296,2452
19544,20885,-0.02187,"Lomita",1.912,33.7933,-118.317,"lomita-ca","CA",-118.317,33.7933,297,10222
19456,19657,-0.00343,"South El Monte",2.843,34.0504,-118.048,"south-el-monte-ca","CA",-118.048,34.0504,298,6843
19399,19525,-0.00216,"Orinda",12.853,37.8816,-122.169,"orinda-ca","CA",-122.169,37.8816,299,1509
19385,18821,0.0099,"Chowchilla",11.086,37.1161,-120.242,"chowchilla-ca","CA",-120.242,37.1161,300,1749
19259,20556,-0.02149,"La Canada Flintridge",8.626,34.2097,-118.2,"la-canada-flintridge-ca","CA",-118.2,34.2097,301,2233
19239,18995,0.00428,"Greenfield",2.136,36.3234,-121.245,"greenfield-ca","CA",-121.245,36.3234,302,9007
19174,19084,0.00157,"Arcata",9.368,40.8623,-124.075,"arcata-ca","CA",-124.075,40.8623,303,2047
19028,18947,0.00142,"Dixon",7.065,38.4475,-121.824,"dixon-ca","CA",-121.824,38.4475,304,2693
18979,20262,-0.02155,"Agoura Hills",7.801,34.1489,-118.764,"agoura-hills-ca","CA",-118.764,34.1489,305,2433
18546,19977,-0.02446,"Albany",1.789,37.8907,-122.318,"albany-ca","CA",-122.318,37.8907,306,10367
18528,18420,0.00195,"Arroyo Grande",5.937,35.1242,-120.585,"arroyo-grande-ca","CA",-120.585,35.1242,307,3121
18499,19735,-0.02132,"Hermosa Beach",1.426,33.8653,-118.396,"hermosa-beach-ca","CA",-118.396,33.8653,308,12973
18482,18993,-0.00906,"Pinole",5.104,38.0017,-122.318,"pinole-ca","CA",-122.318,38.0017,309,3621
17913,17733,0.00336,"Blythe",26.606,33.6536,-114.622,"blythe-ca","CA",-114.622,33.6536,310,673
17898,17013,0.01705,"Rancho Mirage",25.354,33.7643,-116.43,"rancho-mirage-ca","CA",-116.43,33.7643,311,706
17894,19083,-0.02122,"Santa Fe Springs",8.873,33.9336,-118.063,"santa-fe-springs-ca","CA",-118.063,33.9336,312,2017
17810,16856,0.01853,"Truckee",32.332,39.3505,-120.194,"truckee-ca","CA",-120.194,39.3505,313,551
17628,17384,0.00467,"Coalinga",6.581,36.1445,-120.358,"coalinga-ca","CA",-120.358,36.1445,314,2679
17146,16098,0.02126,"Ripon",5.325,37.742,-121.13,"ripon-ca","CA",-121.13,37.742,315,3220
17049,17657,-0.01159,"Laguna Woods",3.345,33.6121,-117.73,"laguna-woods-ca","CA",-117.73,33.6121,316,5097
17026,16654,0.0074,"Clearlake",10.129,38.96,-122.633,"clearlake-ca","CA",-122.633,38.96,317,1681
16800,16692,0.00215,"Ukiah",4.784,39.1466,-123.21,"ukiah-ca","CA",-123.21,39.1466,318,3512
16673,16139,0.01091,"Susanville",7.944,40.4337,-120.628,"susanville-ca","CA",-120.628,40.4337,319,2099
16667,16411,0.00519,"Fillmore",3.364,34.3984,-118.916,"fillmore-ca","CA",-118.916,34.3984,320,4955
16477,16698,-0.00441,"Moraga",9.465,37.8457,-122.123,"moraga-ca","CA",-122.123,37.8457,321,1741
16435,16045,0.00803,"Kerman",3.267,36.7249,-120.062,"kerman-ca","CA",-120.062,36.7249,322,5031
16209,17253,-0.0206,"El Segundo",5.463,33.9104,-118.425,"el-segundo-ca","CA",-118.425,33.9104,323,2967
